record_type,window,n_families,model,reference_or_term,metric,estimate,ci95_lo,ci95_hi,direction,sign_stability,selection_frequency,chosen_C,chosen_l1_ratio
performance,le15,125,minimal_pitch_core,year_only,d_pairwise_accuracy,-0.0920,-0.1921,0.0040,,,,,
performance,le15,125,minimal_pitch_core,year_only,d_roc_auc,-0.0828,-0.2113,0.0467,,,,,
performance,le15,125,minimal_pitch_core,year_only,d_log_loss,0.0375,-0.0172,0.1090,,,,,
performance,le15,125,year_plus_minimal_pitch_core,year_only,d_pairwise_accuracy,0.0040,-0.0440,0.0440,,,,,
performance,le15,125,year_plus_minimal_pitch_core,year_only,d_roc_auc,0.0598,0.0014,0.1170,,,,,
performance,le15,125,year_plus_minimal_pitch_core,year_only,d_log_loss,-0.0542,-0.0948,-0.0087,,,,,
performance,le15,125,extended_pitch_core,year_only,d_pairwise_accuracy,-0.0920,-0.1960,0.0080,,,,,
performance,le15,125,extended_pitch_core,year_only,d_roc_auc,-0.0860,-0.2156,0.0429,,,,,
performance,le15,125,extended_pitch_core,year_only,d_log_loss,0.0400,-0.0185,0.1148,,,,,
performance,le15,125,year_plus_extended_pitch_core,year_only,d_pairwise_accuracy,0.0040,-0.0400,0.0480,,,,,
performance,le15,125,year_plus_extended_pitch_core,year_only,d_roc_auc,0.0171,-0.0491,0.0812,,,,,
performance,le15,125,year_plus_extended_pitch_core,year_only,d_log_loss,-0.0066,-0.0679,0.0680,,,,,
performance,le15,125,continuity_augmented,year_only,d_pairwise_accuracy,-0.0920,-0.2040,0.0080,,,,,
performance,le15,125,continuity_augmented,year_only,d_roc_auc,-0.0979,-0.2404,0.0325,,,,,
performance,le15,125,continuity_augmented,year_only,d_log_loss,0.0671,-0.0046,0.1619,,,,,
performance,le15,125,year_plus_continuity_augmented,year_only,d_pairwise_accuracy,-0.0120,-0.0640,0.0320,,,,,
performance,le15,125,year_plus_continuity_augmented,year_only,d_roc_auc,0.0083,-0.0780,0.0829,,,,,
performance,le15,125,year_plus_continuity_augmented,year_only,d_log_loss,-0.0023,-0.0624,0.0796,,,,,
performance,le15,125,extended_pitch_core,minimal_pitch_core,d_pairwise_accuracy,0.0000,-0.0240,0.0240,,,,,
performance,le15,125,extended_pitch_core,minimal_pitch_core,d_roc_auc,-0.0031,-0.0314,0.0246,,,,,
performance,le15,125,extended_pitch_core,minimal_pitch_core,d_log_loss,0.0025,-0.0047,0.0107,,,,,
performance,le15,125,minimal_pitch_core,extended_pitch_core,d_pairwise_accuracy,0.0000,-0.0240,0.0240,,,,,
performance,le15,125,minimal_pitch_core,extended_pitch_core,d_roc_auc,0.0031,-0.0246,0.0314,,,,,
performance,le15,125,minimal_pitch_core,extended_pitch_core,d_log_loss,-0.0025,-0.0107,0.0047,,,,,
performance,le15,125,extended_pitch_core,continuity_augmented,d_pairwise_accuracy,0.0000,-0.0440,0.0440,,,,,
performance,le15,125,extended_pitch_core,continuity_augmented,d_roc_auc,0.0119,-0.0422,0.0686,,,,,
performance,le15,125,extended_pitch_core,continuity_augmented,d_log_loss,-0.0271,-0.0868,0.0103,,,,,
performance,le25,168,year_only,,pairwise_accuracy,0.5089,0.4613,0.5565,,,,,
performance,le25,168,year_only,,roc_auc,0.5036,0.4296,0.5813,,,,,
performance,le25,168,year_only,,log_loss,0.6975,0.6902,0.7046,,,,,
performance,le25,168,minimal_pitch_core,,pairwise_accuracy,0.5357,0.4792,0.5952,,,,,
performance,le25,168,minimal_pitch_core,,roc_auc,0.5505,0.4679,0.6336,,,,,
performance,le25,168,minimal_pitch_core,,log_loss,0.7120,0.6762,0.7700,,,,,
performance,le25,168,year_plus_minimal_pitch_core,,pairwise_accuracy,0.5714,0.5149,0.6280,,,,,
performance,le25,168,year_plus_minimal_pitch_core,,roc_auc,0.5788,0.4951,0.6642,,,,,
performance,le25,168,year_plus_minimal_pitch_core,,log_loss,0.7100,0.6837,0.7445,,,,,
performance,le25,168,extended_pitch_core,,pairwise_accuracy,0.5238,0.4643,0.5833,,,,,
performance,le25,168,extended_pitch_core,,roc_auc,0.5416,0.4551,0.6247,,,,,
performance,le25,168,extended_pitch_core,,log_loss,0.7126,0.6762,0.7681,,,,,
performance,le25,168,year_plus_extended_pitch_core,,pairwise_accuracy,0.5536,0.4999,0.6102,,,,,
performance,le25,168,year_plus_extended_pitch_core,,roc_auc,0.5629,0.4794,0.6447,,,,,
performance,le25,168,year_plus_extended_pitch_core,,log_loss,0.7202,0.6830,0.7692,,,,,
performance,le25,168,continuity_augmented,,pairwise_accuracy,0.5714,0.5030,0.6370,,,,,
performance,le25,168,continuity_augmented,,roc_auc,0.6016,0.5122,0.6841,,,,,
performance,le25,168,continuity_augmented,,log_loss,0.7170,0.6687,0.7787,,,,,
performance,le25,168,year_plus_continuity_augmented,,pairwise_accuracy,0.6220,0.5536,0.6964,,,,,
performance,le25,168,year_plus_continuity_augmented,,roc_auc,0.5996,0.5104,0.6822,,,,,
performance,le25,168,year_plus_continuity_augmented,,log_loss,0.7172,0.6689,0.7798,,,,,
performance,le25,168,minimal_pitch_core,year_only,d_pairwise_accuracy,0.0268,-0.0476,0.0952,,,,,
performance,le25,168,minimal_pitch_core,year_only,d_roc_auc,0.0469,-0.0670,0.1519,,,,,
performance,le25,168,minimal_pitch_core,year_only,d_log_loss,0.0145,-0.0218,0.0718,,,,,
performance,le25,168,year_plus_minimal_pitch_core,year_only,d_pairwise_accuracy,0.0625,0.0060,0.1190,,,,,
performance,le25,168,year_plus_minimal_pitch_core,year_only,d_roc_auc,0.0752,-0.0165,0.1611,,,,,
performance,le25,168,year_plus_minimal_pitch_core,year_only,d_log_loss,0.0125,-0.0115,0.0457,,,,,
performance,le25,168,extended_pitch_core,year_only,d_pairwise_accuracy,0.0149,-0.0595,0.0863,,,,,
performance,le25,168,extended_pitch_core,year_only,d_roc_auc,0.0379,-0.0764,0.1434,,,,,
performance,le25,168,extended_pitch_core,year_only,d_log_loss,0.0151,-0.0216,0.0715,,,,,
performance,le25,168,year_plus_extended_pitch_core,year_only,d_pairwise_accuracy,0.0446,-0.0119,0.1012,,,,,
performance,le25,168,year_plus_extended_pitch_core,year_only,d_roc_auc,0.0593,-0.0245,0.1395,,,,,
performance,le25,168,year_plus_extended_pitch_core,year_only,d_log_loss,0.0227,-0.0123,0.0700,,,,,
performance,le25,168,continuity_augmented,year_only,d_pairwise_accuracy,0.0625,-0.0268,0.1458,,,,,
performance,le25,168,continuity_augmented,year_only,d_roc_auc,0.0979,-0.0279,0.2143,,,,,
performance,le25,168,continuity_augmented,year_only,d_log_loss,0.0195,-0.0296,0.0814,,,,,
performance,le25,168,year_plus_continuity_augmented,year_only,d_pairwise_accuracy,0.1131,0.0357,0.1905,,,,,
performance,le25,168,year_plus_continuity_augmented,year_only,d_roc_auc,0.0959,-0.0133,0.2011,,,,,
performance,le25,168,year_plus_continuity_augmented,year_only,d_log_loss,0.0197,-0.0284,0.0823,,,,,
performance,le25,168,extended_pitch_core,minimal_pitch_core,d_pairwise_accuracy,-0.0119,-0.0357,0.0060,,,,,
performance,le25,168,extended_pitch_core,minimal_pitch_core,d_roc_auc,-0.0089,-0.0399,0.0161,,,,,
performance,le25,168,extended_pitch_core,minimal_pitch_core,d_log_loss,0.0006,-0.0048,0.0060,,,,,
performance,le25,168,minimal_pitch_core,extended_pitch_core,d_pairwise_accuracy,0.0119,-0.0060,0.0357,,,,,
performance,le25,168,minimal_pitch_core,extended_pitch_core,d_roc_auc,0.0089,-0.0161,0.0399,,,,,
performance,le25,168,minimal_pitch_core,extended_pitch_core,d_log_loss,-0.0006,-0.0060,0.0048,,,,,
performance,le25,168,extended_pitch_core,continuity_augmented,d_pairwise_accuracy,-0.0476,-0.1071,0.0149,,,,,
performance,le25,168,extended_pitch_core,continuity_augmented,d_roc_auc,-0.0600,-0.1375,0.0235,,,,,
performance,le25,168,extended_pitch_core,continuity_augmented,d_log_loss,-0.0044,-0.0399,0.0215,,,,,
performance,le50,231,year_only,,pairwise_accuracy,0.4719,0.4156,0.5303,,,,,
performance,le50,231,year_only,,roc_auc,0.4798,0.4072,0.5561,,,,,
performance,le50,231,year_only,,log_loss,0.6952,0.6867,0.7037,,,,,
performance,le50,231,minimal_pitch_core,,pairwise_accuracy,0.5931,0.5325,0.6494,,,,,
performance,le50,231,minimal_pitch_core,,roc_auc,0.6388,0.5628,0.7085,,,,,
performance,le50,231,minimal_pitch_core,,log_loss,0.6809,0.6557,0.7097,,,,,
performance,le50,231,year_plus_minimal_pitch_core,,pairwise_accuracy,0.5303,0.4675,0.5909,,,,,
performance,le50,231,year_plus_minimal_pitch_core,,roc_auc,0.5766,0.4995,0.6460,,,,,
performance,le50,231,year_plus_minimal_pitch_core,,log_loss,0.6853,0.6648,0.7076,,,,,
performance,le50,231,extended_pitch_core,,pairwise_accuracy,0.5758,0.5152,0.6278,,,,,
performance,le50,231,extended_pitch_core,,roc_auc,0.6284,0.5507,0.6963,,,,,
performance,le50,231,extended_pitch_core,,log_loss,0.6843,0.6603,0.7118,,,,,
performance,le50,231,year_plus_extended_pitch_core,,pairwise_accuracy,0.5433,0.4805,0.6039,,,,,
performance,le50,231,year_plus_extended_pitch_core,,roc_auc,0.5962,0.5213,0.6668,,,,,
performance,le50,231,year_plus_extended_pitch_core,,log_loss,0.6866,0.6597,0.7163,,,,,
performance,le50,231,continuity_augmented,,pairwise_accuracy,0.5823,0.5195,0.6407,,,,,
performance,le50,231,continuity_augmented,,roc_auc,0.6360,0.5592,0.7068,,,,,
performance,le50,231,continuity_augmented,,log_loss,0.6807,0.6486,0.7168,,,,,
performance,le50,231,year_plus_continuity_augmented,,pairwise_accuracy,0.5390,0.4740,0.6017,,,,,
performance,le50,231,year_plus_continuity_augmented,,roc_auc,0.6239,0.5458,0.6928,,,,,
performance,le50,231,year_plus_continuity_augmented,,log_loss,0.6824,0.6512,0.7172,,,,,
performance,le50,231,minimal_pitch_core,year_only,d_pairwise_accuracy,0.1212,0.0368,0.2014,,,,,
performance,le50,231,minimal_pitch_core,year_only,d_roc_auc,0.1590,0.0506,0.2600,,,,,
performance,le50,231,minimal_pitch_core,year_only,d_log_loss,-0.0143,-0.0412,0.0170,,,,,
performance,le50,231,year_plus_minimal_pitch_core,year_only,d_pairwise_accuracy,0.0584,-0.0108,0.1342,,,,,
performance,le50,231,year_plus_minimal_pitch_core,year_only,d_roc_auc,0.0967,0.0145,0.1769,,,,,
performance,le50,231,year_plus_minimal_pitch_core,year_only,d_log_loss,-0.0099,-0.0289,0.0120,,,,,
performance,le50,231,extended_pitch_core,year_only,d_pairwise_accuracy,0.1039,0.0195,0.1840,,,,,
performance,le50,231,extended_pitch_core,year_only,d_roc_auc,0.1486,0.0378,0.2475,,,,,
performance,le50,231,extended_pitch_core,year_only,d_log_loss,-0.0109,-0.0370,0.0184,,,,,
performance,le50,231,year_plus_extended_pitch_core,year_only,d_pairwise_accuracy,0.0714,0.0065,0.1407,,,,,
performance,le50,231,year_plus_extended_pitch_core,year_only,d_roc_auc,0.1164,0.0316,0.1987,,,,,
performance,le50,231,year_plus_extended_pitch_core,year_only,d_log_loss,-0.0086,-0.0342,0.0195,,,,,
performance,le50,231,continuity_augmented,year_only,d_pairwise_accuracy,0.1104,0.0260,0.1905,,,,,
performance,le50,231,continuity_augmented,year_only,d_roc_auc,0.1562,0.0476,0.2548,,,,,
performance,le50,231,continuity_augmented,year_only,d_log_loss,-0.0145,-0.0481,0.0224,,,,,
performance,le50,231,year_plus_continuity_augmented,year_only,d_pairwise_accuracy,0.0671,-0.0065,0.1407,,,,,
performance,le50,231,year_plus_continuity_augmented,year_only,d_roc_auc,0.1441,0.0510,0.2327,,,,,
performance,le50,231,year_plus_continuity_augmented,year_only,d_log_loss,-0.0128,-0.0429,0.0207,,,,,
performance,le50,231,extended_pitch_core,minimal_pitch_core,d_pairwise_accuracy,-0.0173,-0.0433,0.0087,,,,,
performance,le50,231,extended_pitch_core,minimal_pitch_core,d_roc_auc,-0.0104,-0.0337,0.0107,,,,,
performance,le50,231,extended_pitch_core,minimal_pitch_core,d_log_loss,0.0033,-0.0026,0.0093,,,,,
performance,le50,231,minimal_pitch_core,extended_pitch_core,d_pairwise_accuracy,0.0173,-0.0087,0.0433,,,,,
performance,le50,231,minimal_pitch_core,extended_pitch_core,d_roc_auc,0.0104,-0.0107,0.0337,,,,,
performance,le50,231,minimal_pitch_core,extended_pitch_core,d_log_loss,-0.0033,-0.0093,0.0026,,,,,
performance,le50,231,extended_pitch_core,continuity_augmented,d_pairwise_accuracy,-0.0065,-0.0584,0.0390,,,,,
performance,le50,231,extended_pitch_core,continuity_augmented,d_roc_auc,-0.0076,-0.0619,0.0434,,,,,
performance,le50,231,extended_pitch_core,continuity_augmented,d_log_loss,0.0036,-0.0199,0.0230,,,,,
performance,le75,323,year_only,,pairwise_accuracy,0.5542,0.5000,0.6084,,,,,
performance,le75,323,year_only,,roc_auc,0.5523,0.4891,0.6183,,,,,
performance,le75,323,year_only,,log_loss,0.6885,0.6799,0.6967,,,,,
performance,le75,323,minimal_pitch_core,,pairwise_accuracy,0.6238,0.5743,0.6718,,,,,
performance,le75,323,minimal_pitch_core,,roc_auc,0.6771,0.6194,0.7343,,,,,
performance,le75,323,minimal_pitch_core,,log_loss,0.6614,0.6438,0.6786,,,,,
performance,le75,323,year_plus_minimal_pitch_core,,pairwise_accuracy,0.6765,0.6269,0.7291,,,,,
performance,le75,323,year_plus_minimal_pitch_core,,roc_auc,0.6930,0.6358,0.7519,,,,,
performance,le75,323,year_plus_minimal_pitch_core,,log_loss,0.6613,0.6398,0.6831,,,,,
performance,le75,323,extended_pitch_core,,pairwise_accuracy,0.6269,0.5774,0.6765,,,,,
performance,le75,323,extended_pitch_core,,roc_auc,0.6817,0.6234,0.7367,,,,,
performance,le75,323,extended_pitch_core,,log_loss,0.6573,0.6335,0.6823,,,,,
performance,le75,323,year_plus_extended_pitch_core,,pairwise_accuracy,0.6641,0.6146,0.7183,,,,,
performance,le75,323,year_plus_extended_pitch_core,,roc_auc,0.6741,0.6138,0.7336,,,,,
performance,le75,323,year_plus_extended_pitch_core,,log_loss,0.6648,0.6391,0.6904,,,,,
performance,le75,323,continuity_augmented,,pairwise_accuracy,0.6316,0.5820,0.6811,,,,,
performance,le75,323,continuity_augmented,,roc_auc,0.6682,0.6107,0.7265,,,,,
performance,le75,323,continuity_augmented,,log_loss,0.6653,0.6442,0.6865,,,,,
performance,le75,323,year_plus_continuity_augmented,,pairwise_accuracy,0.6610,0.6130,0.7167,,,,,
performance,le75,323,year_plus_continuity_augmented,,roc_auc,0.6713,0.6109,0.7327,,,,,
performance,le75,323,year_plus_continuity_augmented,,log_loss,0.6701,0.6485,0.6915,,,,,
performance,le75,323,minimal_pitch_core,year_only,d_pairwise_accuracy,0.0697,-0.0016,0.1424,,,,,
performance,le75,323,minimal_pitch_core,year_only,d_roc_auc,0.1248,0.0389,0.2097,,,,,
performance,le75,323,minimal_pitch_core,year_only,d_log_loss,-0.0272,-0.0455,-0.0081,,,,,
performance,le75,323,year_plus_minimal_pitch_core,year_only,d_pairwise_accuracy,0.1223,0.0666,0.1811,,,,,
performance,le75,323,year_plus_minimal_pitch_core,year_only,d_roc_auc,0.1407,0.0686,0.2098,,,,,
performance,le75,323,year_plus_minimal_pitch_core,year_only,d_log_loss,-0.0272,-0.0479,-0.0056,,,,,
performance,le75,323,extended_pitch_core,year_only,d_pairwise_accuracy,0.0728,0.0046,0.1455,,,,,
performance,le75,323,extended_pitch_core,year_only,d_roc_auc,0.1294,0.0431,0.2135,,,,,
performance,le75,323,extended_pitch_core,year_only,d_log_loss,-0.0312,-0.0557,-0.0049,,,,,
performance,le75,323,year_plus_extended_pitch_core,year_only,d_pairwise_accuracy,0.1099,0.0511,0.1703,,,,,
performance,le75,323,year_plus_extended_pitch_core,year_only,d_roc_auc,0.1218,0.0496,0.1927,,,,,
performance,le75,323,year_plus_extended_pitch_core,year_only,d_log_loss,-0.0237,-0.0479,0.0008,,,,,
performance,le75,323,continuity_augmented,year_only,d_pairwise_accuracy,0.0774,0.0093,0.1502,,,,,
performance,le75,323,continuity_augmented,year_only,d_roc_auc,0.1159,0.0312,0.2015,,,,,
performance,le75,323,continuity_augmented,year_only,d_log_loss,-0.0232,-0.0454,-0.0008,,,,,
performance,le75,323,year_plus_continuity_augmented,year_only,d_pairwise_accuracy,0.1068,0.0480,0.1672,,,,,
performance,le75,323,year_plus_continuity_augmented,year_only,d_roc_auc,0.1190,0.0472,0.1896,,,,,
performance,le75,323,year_plus_continuity_augmented,year_only,d_log_loss,-0.0185,-0.0388,0.0017,,,,,
performance,le75,323,extended_pitch_core,minimal_pitch_core,d_pairwise_accuracy,0.0031,-0.0248,0.0310,,,,,
performance,le75,323,extended_pitch_core,minimal_pitch_core,d_roc_auc,0.0046,-0.0202,0.0298,,,,,
performance,le75,323,extended_pitch_core,minimal_pitch_core,d_log_loss,-0.0040,-0.0152,0.0082,,,,,
performance,le75,323,minimal_pitch_core,extended_pitch_core,d_pairwise_accuracy,-0.0031,-0.0310,0.0248,,,,,
performance,le75,323,minimal_pitch_core,extended_pitch_core,d_roc_auc,-0.0046,-0.0298,0.0202,,,,,
performance,le75,323,minimal_pitch_core,extended_pitch_core,d_log_loss,0.0040,-0.0082,0.0152,,,,,
performance,le75,323,extended_pitch_core,continuity_augmented,d_pairwise_accuracy,-0.0046,-0.0155,0.0046,,,,,
performance,le75,323,extended_pitch_core,continuity_augmented,d_roc_auc,0.0135,0.0018,0.0255,,,,,
performance,le75,323,extended_pitch_core,continuity_augmented,d_log_loss,-0.0080,-0.0195,0.0038,,,,,
performance,le100,348,year_only,,pairwise_accuracy,0.5517,0.5014,0.6049,,,,,
performance,le100,348,year_only,,roc_auc,0.5536,0.4934,0.6149,,,,,
performance,le100,348,year_only,,log_loss,0.6898,0.6819,0.6977,,,,,
performance,le100,348,minimal_pitch_core,,pairwise_accuracy,0.6394,0.5905,0.6853,,,,,
performance,le100,348,minimal_pitch_core,,roc_auc,0.6925,0.6339,0.7443,,,,,
performance,le100,348,minimal_pitch_core,,log_loss,0.6641,0.6401,0.6940,,,,,
performance,le100,348,year_plus_minimal_pitch_core,,pairwise_accuracy,0.6624,0.6121,0.7112,,,,,
performance,le100,348,year_plus_minimal_pitch_core,,roc_auc,0.6965,0.6402,0.7488,,,,,
performance,le100,348,year_plus_minimal_pitch_core,,log_loss,0.6631,0.6360,0.6947,,,,,
performance,le100,348,extended_pitch_core,,pairwise_accuracy,0.6509,0.6034,0.6968,,,,,
performance,le100,348,extended_pitch_core,,roc_auc,0.6968,0.6398,0.7489,,,,,
performance,le100,348,extended_pitch_core,,log_loss,0.6574,0.6298,0.6879,,,,,
performance,le100,348,year_plus_extended_pitch_core,,pairwise_accuracy,0.6739,0.6236,0.7227,,,,,
performance,le100,348,year_plus_extended_pitch_core,,roc_auc,0.6972,0.6409,0.7500,,,,,
performance,le100,348,year_plus_extended_pitch_core,,log_loss,0.6628,0.6368,0.6938,,,,,
performance,le100,348,continuity_augmented,,pairwise_accuracy,0.6466,0.5991,0.6940,,,,,
performance,le100,348,continuity_augmented,,roc_auc,0.6978,0.6411,0.7500,,,,,
performance,le100,348,continuity_augmented,,log_loss,0.6580,0.6397,0.6781,,,,,
performance,le100,348,year_plus_continuity_augmented,,pairwise_accuracy,0.6796,0.6293,0.7270,,,,,
performance,le100,348,year_plus_continuity_augmented,,roc_auc,0.6977,0.6413,0.7510,,,,,
performance,le100,348,year_plus_continuity_augmented,,log_loss,0.6587,0.6403,0.6791,,,,,
performance,le100,348,minimal_pitch_core,year_only,d_pairwise_accuracy,0.0876,0.0172,0.1580,,,,,
performance,le100,348,minimal_pitch_core,year_only,d_roc_auc,0.1389,0.0568,0.2190,,,,,
performance,le100,348,minimal_pitch_core,year_only,d_log_loss,-0.0257,-0.0512,0.0037,,,,,
performance,le100,348,year_plus_minimal_pitch_core,year_only,d_pairwise_accuracy,0.1106,0.0517,0.1710,,,,,
performance,le100,348,year_plus_minimal_pitch_core,year_only,d_roc_auc,0.1430,0.0739,0.2132,,,,,
performance,le100,348,year_plus_minimal_pitch_core,year_only,d_log_loss,-0.0267,-0.0525,0.0039,,,,,
performance,le100,348,extended_pitch_core,year_only,d_pairwise_accuracy,0.0991,0.0316,0.1681,,,,,
performance,le100,348,extended_pitch_core,year_only,d_roc_auc,0.1433,0.0628,0.2225,,,,,
performance,le100,348,extended_pitch_core,year_only,d_log_loss,-0.0324,-0.0600,-0.0013,,,,,
performance,le100,348,year_plus_extended_pitch_core,year_only,d_pairwise_accuracy,0.1221,0.0618,0.1825,,,,,
performance,le100,348,year_plus_extended_pitch_core,year_only,d_roc_auc,0.1436,0.0739,0.2136,,,,,
performance,le100,348,year_plus_extended_pitch_core,year_only,d_log_loss,-0.0270,-0.0522,0.0022,,,,,
performance,le100,348,continuity_augmented,year_only,d_pairwise_accuracy,0.0948,0.0259,0.1638,,,,,
performance,le100,348,continuity_augmented,year_only,d_roc_auc,0.1443,0.0647,0.2223,,,,,
performance,le100,348,continuity_augmented,year_only,d_log_loss,-0.0317,-0.0506,-0.0119,,,,,
performance,le100,348,year_plus_continuity_augmented,year_only,d_pairwise_accuracy,0.1279,0.0675,0.1883,,,,,
performance,le100,348,year_plus_continuity_augmented,year_only,d_roc_auc,0.1441,0.0739,0.2141,,,,,
performance,le100,348,year_plus_continuity_augmented,year_only,d_log_loss,-0.0311,-0.0490,-0.0115,,,,,
performance,le100,348,extended_pitch_core,minimal_pitch_core,d_pairwise_accuracy,0.0115,-0.0087,0.0345,,,,,
performance,le100,348,extended_pitch_core,minimal_pitch_core,d_roc_auc,0.0044,-0.0121,0.0234,,,,,
performance,le100,348,extended_pitch_core,minimal_pitch_core,d_log_loss,-0.0067,-0.0151,0.0017,,,,,
performance,le100,348,minimal_pitch_core,extended_pitch_core,d_pairwise_accuracy,-0.0115,-0.0345,0.0087,,,,,
performance,le100,348,minimal_pitch_core,extended_pitch_core,d_roc_auc,-0.0044,-0.0234,0.0121,,,,,
performance,le100,348,minimal_pitch_core,extended_pitch_core,d_log_loss,0.0067,-0.0017,0.0151,,,,,
performance,le100,348,extended_pitch_core,continuity_augmented,d_pairwise_accuracy,0.0043,-0.0043,0.0144,,,,,
performance,le100,348,extended_pitch_core,continuity_augmented,d_roc_auc,-0.0010,-0.0089,0.0064,,,,,
performance,le100,348,extended_pitch_core,continuity_augmented,d_log_loss,-0.0007,-0.0128,0.0147,,,,,
performance,unrestricted,433,year_only,,pairwise_accuracy,0.5889,0.5450,0.6339,,,,,
performance,unrestricted,433,year_only,,roc_auc,0.6221,0.5691,0.6736,,,,,
performance,unrestricted,433,year_only,,log_loss,0.6725,0.6605,0.6839,,,,,
performance,unrestricted,433,minimal_pitch_core,,pairwise_accuracy,0.6524,0.6120,0.6940,,,,,
performance,unrestricted,433,minimal_pitch_core,,roc_auc,0.7040,0.6538,0.7514,,,,,
performance,unrestricted,433,minimal_pitch_core,,log_loss,0.6481,0.6285,0.6702,,,,,
performance,unrestricted,433,year_plus_minimal_pitch_core,,pairwise_accuracy,0.6848,0.6409,0.7309,,,,,
performance,unrestricted,433,year_plus_minimal_pitch_core,,roc_auc,0.7166,0.6672,0.7621,,,,,
performance,unrestricted,433,year_plus_minimal_pitch_core,,log_loss,0.6333,0.6041,0.6648,,,,,
performance,unrestricted,433,extended_pitch_core,,pairwise_accuracy,0.6351,0.5924,0.6767,,,,,
performance,unrestricted,433,extended_pitch_core,,roc_auc,0.7032,0.6537,0.7504,,,,,
performance,unrestricted,433,extended_pitch_core,,log_loss,0.6418,0.6216,0.6646,,,,,
performance,unrestricted,433,year_plus_extended_pitch_core,,pairwise_accuracy,0.6755,0.6328,0.7194,,,,,
performance,unrestricted,433,year_plus_extended_pitch_core,,roc_auc,0.7148,0.6641,0.7613,,,,,
performance,unrestricted,433,year_plus_extended_pitch_core,,log_loss,0.6361,0.6068,0.6680,,,,,
performance,unrestricted,433,continuity_augmented,,pairwise_accuracy,0.6605,0.6178,0.7032,,,,,
performance,unrestricted,433,continuity_augmented,,roc_auc,0.7180,0.6685,0.7650,,,,,
performance,unrestricted,433,continuity_augmented,,log_loss,0.6373,0.6113,0.6645,,,,,
performance,unrestricted,433,year_plus_continuity_augmented,,pairwise_accuracy,0.6917,0.6478,0.7356,,,,,
performance,unrestricted,433,year_plus_continuity_augmented,,roc_auc,0.7257,0.6753,0.7718,,,,,
performance,unrestricted,433,year_plus_continuity_augmented,,log_loss,0.6358,0.6057,0.6683,,,,,
performance,unrestricted,433,minimal_pitch_core,year_only,d_pairwise_accuracy,0.0635,0.0057,0.1190,,,,,
performance,unrestricted,433,minimal_pitch_core,year_only,d_roc_auc,0.0820,0.0166,0.1481,,,,,
performance,unrestricted,433,minimal_pitch_core,year_only,d_log_loss,-0.0244,-0.0464,-0.0018,,,,,
performance,unrestricted,433,year_plus_minimal_pitch_core,year_only,d_pairwise_accuracy,0.0958,0.0508,0.1398,,,,,
performance,unrestricted,433,year_plus_minimal_pitch_core,year_only,d_roc_auc,0.0945,0.0481,0.1420,,,,,
performance,unrestricted,433,year_plus_minimal_pitch_core,year_only,d_log_loss,-0.0392,-0.0629,-0.0127,,,,,
performance,unrestricted,433,extended_pitch_core,year_only,d_pairwise_accuracy,0.0462,-0.0115,0.1028,,,,,
performance,unrestricted,433,extended_pitch_core,year_only,d_roc_auc,0.0811,0.0177,0.1466,,,,,
performance,unrestricted,433,extended_pitch_core,year_only,d_log_loss,-0.0307,-0.0528,-0.0078,,,,,
