window,n_families,model,term,coefficient_std_scale,ci95_lo,ci95_hi,sign_stability,selection_frequency,chosen_C,chosen_l1_ratio
le25,168,year_plus_combined,d_prop_repeated_pitch,0.1111,-0.2522,0.6011,0.753,1.000,10.0,0.5
le25,168,year_plus_combined,d_mean_abs_interval_nonrep,0.3399,-0.2302,1.1761,0.867,1.000,10.0,0.5
le25,168,year_plus_combined,d_pitch_range,-0.1659,-1.0486,0.3491,0.733,1.000,10.0,0.5
le25,168,year_plus_combined,d_max_abs_interval,-0.3123,-1.1782,0.2462,0.863,1.000,10.0,0.5
le25,168,year_plus_compact,d_year,0.1615,-0.0733,0.4911,0.880,0.983,0.1,0.1
le25,168,year_plus_compact,d_prop_gap_transitions,0.3855,0.0858,0.7797,0.997,1.000,0.1,0.1
le25,168,year_plus_compact,d_prop_repeated_pitch,0.1294,-0.1020,0.4532,0.833,0.960,0.1,0.1
le25,168,year_plus_compact,d_pitch_range,-0.1492,-0.6949,0.1592,0.797,0.967,0.1,0.1
le25,168,year_plus_compact,d_max_abs_interval,-0.1211,-0.4918,0.1856,0.783,0.980,0.1,0.1
le50,231,year_only,d_year,-0.1257,-0.3821,0.1127,0.840,0.960,0.1,0.1
le50,231,year_plus_combined,d_year,-0.0193,-0.1654,0.0267,0.580,0.637,0.01,0.1
le50,231,year_plus_combined,d_prop_gap_transitions,0.0948,0.0000,0.2197,0.870,0.870,0.01,0.1
le50,231,year_plus_combined,d_mean_notes_between_gaps,0.0000,-0.1116,0.0233,0.503,0.497,0.01,0.1
le50,231,year_plus_combined,d_note_density,-0.1039,-0.2832,0.0000,0.910,0.910,0.01,0.1
le50,231,year_plus_combined,d_prop_repeated_pitch,0.0571,0.0000,0.2034,0.757,0.767,0.01,0.1
le50,231,year_plus_combined,d_mean_abs_interval_nonrep,0.0102,-0.0084,0.1619,0.540,0.577,0.01,0.1
le50,231,year_plus_combined,d_pitch_range,-0.0900,-0.2289,0.0000,0.883,0.883,0.01,0.1
le50,231,year_plus_combined,d_max_abs_interval,-0.0443,-0.1768,0.0000,0.747,0.770,0.01,0.1
le50,231,year_plus_compact,d_year,-0.0836,-0.3518,0.1699,0.747,0.967,0.1,0.1
le50,231,year_plus_compact,d_prop_gap_transitions,0.2499,0.0220,0.5986,0.987,0.997,0.1,0.1
le50,231,year_plus_compact,d_prop_repeated_pitch,0.1521,-0.1073,0.5541,0.853,0.957,0.1,0.1
le50,231,year_plus_compact,d_pitch_range,-0.2233,-0.5856,0.0519,0.920,0.990,0.1,0.1
le50,231,year_plus_compact,d_max_abs_interval,-0.1022,-0.4300,0.2358,0.743,0.967,0.1,0.1
le75,323,year_only,d_year,0.1980,0.0000,0.4180,0.970,0.993,0.1,0.1
le75,323,year_plus_combined,d_year,0.1001,0.0000,0.2410,0.907,0.907,0.01,0.1
le75,323,year_plus_combined,d_prop_gap_transitions,0.0000,-0.0797,0.0976,0.477,0.523,0.01,0.1
le75,323,year_plus_combined,d_mean_notes_between_gaps,0.0044,-0.0634,0.1541,0.503,0.647,0.01,0.1
le75,323,year_plus_combined,d_note_density,-0.1228,-0.2622,0.0000,0.953,0.953,0.01,0.1
le75,323,year_plus_combined,d_prop_repeated_pitch,0.1809,0.0559,0.3209,0.997,0.997,0.01,0.1
le75,323,year_plus_combined,d_mean_abs_interval_nonrep,0.1207,0.0000,0.2298,0.960,0.960,0.01,0.1
le75,323,year_plus_combined,d_pitch_range,-0.1861,-0.3193,-0.0569,0.997,0.997,0.01,0.1
le75,323,year_plus_combined,d_max_abs_interval,-0.1257,-0.2670,0.0000,0.963,0.963,0.01,0.1
le75,323,year_plus_compact,d_year,0.1416,0.0000,0.3949,0.867,0.877,0.1,0.9
le75,323,year_plus_compact,d_prop_gap_transitions,0.0000,-0.1278,0.2022,0.387,0.613,0.1,0.9
le75,323,year_plus_compact,d_prop_repeated_pitch,0.3208,0.0828,0.6334,0.993,0.993,0.1,0.9
le75,323,year_plus_compact,d_pitch_range,-0.3137,-0.6791,-0.0012,0.973,0.973,0.1,0.9
le75,323,year_plus_compact,d_max_abs_interval,-0.1170,-0.4058,0.0317,0.823,0.860,0.1,0.9
le100,348,year_only,d_year,0.0819,0.0000,0.2084,0.847,0.863,0.01,0.1
le100,348,year_plus_combined,d_year,0.2023,-0.0001,0.4455,0.960,0.987,0.1,0.1
le100,348,year_plus_combined,d_prop_gap_transitions,0.0683,-0.1885,0.3235,0.637,0.970,0.1,0.1
le100,348,year_plus_combined,d_mean_notes_between_gaps,0.3172,-0.1041,0.6865,0.920,0.997,0.1,0.1
le100,348,year_plus_combined,d_note_density,-0.2636,-0.5649,-0.0081,0.977,0.993,0.1,0.1
le100,348,year_plus_combined,d_prop_repeated_pitch,0.3038,0.0700,0.5938,1.000,1.000,0.1,0.1
le100,348,year_plus_combined,d_mean_abs_interval_nonrep,0.2062,-0.0742,0.5805,0.893,0.987,0.1,0.1
le100,348,year_plus_combined,d_pitch_range,-0.3969,-0.7486,-0.1284,0.997,1.000,0.1,0.1
le100,348,year_plus_combined,d_max_abs_interval,-0.2317,-0.5623,0.0008,0.970,0.997,0.1,0.1
le100,348,year_plus_compact,d_year,0.0696,0.0000,0.1966,0.840,0.853,0.01,0.1
le100,348,year_plus_compact,d_prop_gap_transitions,0.0000,-0.1234,0.0895,0.397,0.603,0.01,0.1
le100,348,year_plus_compact,d_prop_repeated_pitch,0.2066,0.0845,0.3497,1.000,1.000,0.01,0.1
le100,348,year_plus_compact,d_pitch_range,-0.2173,-0.3519,-0.1007,0.997,0.997,0.01,0.1
le100,348,year_plus_compact,d_max_abs_interval,-0.0821,-0.2329,0.0000,0.873,0.877,0.01,0.1
unrestricted,433,year_only,d_year,0.2932,0.1868,0.4131,1.000,1.000,0.01,0.1
unrestricted,433,year_plus_combined,d_year,0.4722,0.2715,0.7212,1.000,1.000,1.0,0.1
unrestricted,433,year_plus_combined,d_prop_gap_transitions,0.4837,0.1671,0.8752,1.000,1.000,1.0,0.1
unrestricted,433,year_plus_combined,d_mean_notes_between_gaps,0.3371,-0.0629,0.7097,0.950,1.000,1.0,0.1
unrestricted,433,year_plus_combined,d_note_density,-0.1529,-0.4196,0.0661,0.887,0.993,1.0,0.1
unrestricted,433,year_plus_combined,d_prop_repeated_pitch,0.4355,0.1743,0.7675,1.000,1.000,1.0,0.1
unrestricted,433,year_plus_combined,d_mean_abs_interval_nonrep,0.2311,-0.0713,0.6498,0.887,0.997,1.0,0.1
unrestricted,433,year_plus_combined,d_pitch_range,-0.3651,-0.7315,-0.0864,0.993,1.000,1.0,0.1
unrestricted,433,year_plus_combined,d_max_abs_interval,-0.2938,-0.6417,-0.0215,0.983,0.997,1.0,0.1
unrestricted,433,year_plus_compact,d_year,0.2401,0.1340,0.3540,1.000,1.000,0.01,0.1
unrestricted,433,year_plus_compact,d_prop_gap_transitions,0.1772,0.0250,0.2997,0.990,0.990,0.01,0.1
unrestricted,433,year_plus_compact,d_prop_repeated_pitch,0.2756,0.1449,0.3972,1.000,1.000,0.01,0.1
unrestricted,433,year_plus_compact,d_pitch_range,-0.1965,-0.3333,-0.0690,1.000,1.000,0.01,0.1
unrestricted,433,year_plus_compact,d_max_abs_interval,-0.1062,-0.2353,0.0000,0.943,0.953,0.01,0.1
